ID	collection_date	longitude	latitude
H-1	2024-01-28	-10.132	8.561
H-2	2024-02-13	-10.132	8.561
H-3	2024-02-13	-10.132	8.561
H-4	2024-02-18	-10.132	8.561
H-5	2024-02-23	-10.132	8.561
H-6	2024-02-29	-10.132	8.561
H-7	2024-02-24	-10.0177848882978	7.46869063091496
H-8	2024-03-01	-10.8391562053929	11.5916659302491
H-9	2024-03-07	-9.00582258921279	8.43665921887001
H-10	2024-03-03	-10.0177848882978	7.46869063091496
H-11	2024-03-08	-9.93291631917005	8.44468491103685
H-12	2024-02-21	-10.0109193568133	8.00489040850972
H-13	2024-03-09	-10.8391562053929	11.5916659302491
H-14	2024-03-19	-11.7361852415638	8.53407190050209
H-15	2024-03-17	-10.0109193568133	8.00489040850972
H-16	2024-03-19	-9.00582258921279	8.43665921887001
H-17	2024-03-19	-10.1660832337235	7.7405132007183
H-18	2024-03-03	-11.3459457170946	10.21627359754
H-19	2024-03-20	-9.01979598291579	6.58726576489449
H-20	2024-03-24	-11.7361852415638	8.53407190050209
H-21	2024-03-10	-11.4980429056397	7.6149339136927
H-22	2024-03-20	-10.8391562053929	11.5916659302491
H-23	2024-03-30	-9.08484960673538	8.87368685132626
H-24	2024-03-26	-10.1660832337235	7.7405132007183
H-25	2024-04-06	-10.8391562053929	11.5916659302491
H-26	2024-04-04	-11.4980429056397	7.6149339136927
H-27	2024-04-04	-11.7361852415638	8.53407190050209
H-28	2024-04-08	-11.7361852415638	8.53407190050209
H-29	2024-04-15	-10.1660832337235	7.7405132007183
H-30	2024-04-17	-11.6859172771386	7.87735272974983
H-31	2024-04-09	-11.7361852415638	8.53407190050209
H-32	2024-04-11	-11.7361852415638	8.53407190050209
H-33	2024-04-15	-11.2383599216339	10.8517153051526
H-34	2024-04-17	-10.6386158895848	11.8534943048118
H-35	2024-04-19	-9.08484960673538	8.87368685132626
H-36	2024-04-25	-10.1660832337235	7.7405132007183
H-37	2024-04-23	-9.08484960673538	8.87368685132626
H-38	2024-04-22	-9.59217766142801	6.52618399432235
H-39	2024-04-20	-10.1660832337235	7.7405132007183
H-40	2024-04-26	-12.6417052766866	8.44454516036634
H-41	2024-04-23	-13.0770698389129	9.5642724068838
H-42	2024-04-25	-10.4195042041553	11.721352401094
H-43	2024-04-13	-9.28855390243885	7.068379717867
H-44	2024-04-29	-10.6864536871557	8.09390021347021
H-45	2024-05-03	-11.7361852415638	8.53407190050209
H-46	2024-05-01	-10.5278403902327	7.66330252311786
H-47	2024-05-02	-12.7643178257534	8.60975541370563
H-48	2024-04-29	-9.08484960673538	8.87368685132626
H-49	2024-04-12	-7.05921192743189	6.40422706101147
H-50	2024-05-03	-10.6386158895848	11.8534943048118
H-51	2024-05-04	-10.0140271170004	12.3275892525258
H-52	2024-04-28	-10.1660832337235	7.7405132007183
H-53	2024-05-05	-8.78159533684898	9.28160375148299
H-54	2024-05-05	-10.1977096959443	7.93129146756663
H-55	2024-04-25	-11.3368479995047	10.7908507638368
H-56	2024-05-06	-9.08484960673538	8.87368685132626
H-57	2024-05-09	-9.91278292859423	7.91417212306859
H-58	2024-04-26	-10.6864536871557	8.09390021347021
H-59	2024-05-10	-7.99405026044491	6.34527397009817
H-60	2024-05-10	-8.890399911635	7.25247429896826
H-61	2024-05-09	-9.14621227279767	8.36778000691356
H-62	2024-05-11	-10.5278403902327	7.66330252311786
H-63	2024-05-15	-12.5809839133102	10.6836449113232
H-64	2024-04-22	-9.08484960673538	8.87368685132626
H-65	2024-04-28	-12.4111803172513	8.91633098038833
H-66	2024-04-22	-8.78159533684898	9.28160375148299
H-67	2024-05-17	-9.64704120263094	11.1516842837486
H-68	2024-05-02	-10.5193200102564	9.29041740399839
H-69	2024-05-16	-12.2905904485813	9.70949579600189
H-70	2024-05-21	-8.79591916100167	7.39595051848226
H-71	2024-05-08	-10.2115809364111	8.68558302273434
H-72	2024-05-07	-12.0749356218669	8.61353013877311
H-73	2024-05-20	-11.313163892212	11.346384603003
H-74	2024-05-18	-10.9032055512681	9.57348036435661
H-75	2024-05-09	-7.99405026044491	6.34527397009817
H-76	2024-05-10	-9.39306354516759	8.96380040218722
H-77	2024-05-17	-10.1660832337235	7.7405132007183
H-78	2024-05-22	-10.6386158895848	11.8534943048118
